groupname,overallocation,conflicts,undersupport,unwilling,unpreferred
DanVivRu,1,0,17,5,0
DanVivRu,8,0,5,13,0
DanVivRu,7,0,0,17,1
DanVivRu,6,3,9,4,4
DanVivRu,3,2,13,5,1
DanVivRu,2,1,2,17,1
DanVivRu,2,0,3,18,1
DanVivRu,0,0,8,9,9
DanVivRu,7,1,2,12,3
DanVivRu,1,0,9,7,4
DanVivRu,6,0,0,18,8
DanVivRu,9,2,5,8,1
DanVivRu,0,0,10,9,3
DanVivRu,3,0,5,8,10
DanVivRu,8,0,1,16,0
DanVivRu,9,2,3,10,1
DanVivRu,8,3,3,7,4
DanVivRu,5,1,1,10,11
DanVivRu,6,2,5,6,4
DanVivRu,0,0,4,20,2
DanVivRu,6,2,5,4,12
DanVivRu,10,2,4,9,0
DanVivRu,3,0,10,8,1
DanVivRu,7,3,3,6,12
DanVivRu,6,1,1,12,6
DanVivRu,5,1,4,6,6
DanVivRu,5,2,3,10,4
DanVivRu,3,2,10,7,2
DanVivRu,7,2,4,9,2
DanVivRu,2,1,15,5,0
DanVivRu,7,3,2,7,12
DanVivRu,7,1,4,7,5
DanVivRu,5,0,2,18,0
DanVivRu,0,0,16,3,5
DanVivRu,0,1,11,7,7
DanVivRu,5,1,5,10,2
DanVivRu,6,1,9,6,2
DanVivRu,6,2,1,9,12
DanVivRu,2,1,3,10,6
DanVivRu,5,2,1,17,1
DanVivRu,4,2,8,4,10
DanVivRu,3,1,7,8,3
DanVivRu,3,0,1,21,0
DanVivRu,9,1,2,15,0
DanVivRu,6,2,1,11,6
DanVivRu,3,1,7,10,2
DanVivRu,4,3,0,16,3
DanVivRu,4,3,12,6,1
DanVivRu,9,0,0,10,14
DanVivRu,4,1,4,9,5
DanVivRu,1,0,10,7,3
DanVivRu,1,0,2,13,9
DanVivRu,3,1,2,11,5
DanVivRu,7,2,6,7,2
DanVivRu,9,1,1,13,2
DanVivRu,1,0,12,4,5
DanVivRu,9,3,10,4,1
DanVivRu,4,1,6,8,4
DanVivRu,1,0,8,9,3
DanVivRu,4,0,5,12,1
DanVivRu,7,0,5,9,2
DanVivRu,0,0,9,9,4
DanVivRu,4,0,2,12,7
DanVivRu,5,2,8,3,10
DanVivRu,5,1,10,7,1
DanVivRu,2,0,8,7,5
DanVivRu,3,0,3,10,10
DanVivRu,7,2,2,10,3
DanVivRu,1,0,8,13,0
DanVivRu,10,2,4,8,1
DanVivRu,2,1,1,17,2
DanVivRu,9,1,5,7,2
DanVivRu,0,1,3,17,3
DanVivRu,2,0,12,3,5
DanVivRu,3,0,6,8,5
DanVivRu,1,0,16,2,2
DanVivRu,2,0,12,6,2
DanVivRu,5,0,11,7,0
DanVivRu,9,1,6,7,1
DanVivRu,7,4,10,4,1
DanVivRu,5,0,2,14,3
DanVivRu,2,0,3,11,6
DanVivRu,2,0,5,13,2
DanVivRu,8,0,1,9,14
DanVivRu,1,1,15,5,1
DanVivRu,5,1,0,29,0
DanVivRu,6,0,2,17,0
DanVivRu,1,0,3,12,9
DanVivRu,5,1,0,17,6
DanVivRu,3,0,3,13,5
DanVivRu,7,1,3,9,4
DanVivRu,7,1,4,8,3
DanVivRu,7,0,0,19,0
DanVivRu,1,0,3,14,7
DanVivRu,3,0,4,15,1
DanVivRu,2,0,4,18,0
DanVivRu,5,1,2,10,10
DanVivRu,1,0,3,17,4
DanVivRu,7,0,2,16,0
DanVivRu,7,2,4,4,13
DanVivRu,0,0,4,26,0
DanVivRu,1,0,15,7,0
DanVivRu,0,0,4,14,6
DanVivRu,4,3,10,3,4
DanVivRu,6,0,1,18,0
DanVivRu,1,1,13,5,2
DanVivRu,11,2,3,9,1
DanVivRu,4,1,4,7,6
DanVivRu,0,0,3,13,8
DanVivRu,6,2,10,6,1
DanVivRu,3,2,11,1,10
DanVivRu,4,1,5,5,10
DanVivRu,3,0,5,9,6
DanVivRu,5,1,3,12,3
DanVivRu,8,3,10,5,1
DanVivRu,3,0,9,9,1
DanVivRu,2,0,8,11,0
DanVivRu,2,1,2,13,8
DanVivRu,5,2,7,4,10
DanVivRu,5,2,5,8,3
DanVivRu,4,1,4,5,12
DanVivRu,1,0,2,28,0
DanVivRu,2,1,0,18,2
